"'3. SQL SELECT: data selection from multiple tables, table relations, data grouping.","'4","'","'","'","'4","'","'8","'5","'The analysis of literature, practical works.",
"'4. Correlated and non-correlated SQL queries.","'4","'","'","'","'4","'","'8","'6","'The analysis of literature, practical works.",
"'5. Triggers and sequences.","'2","'","'","'","'2","'","'4","'4","'The analysis of literature, practical works.",
"'6. Indexes.","'4","'","'","'","'2","'","'6","'8","'The analysis of literature, practical works.",
"'7. SQL data definition statements, data update, insert, modify, delete, table structure creation, views.","'2","'","'","'","'4","'","'6","'4","'The analysis of literature, practical works.",
"'8. Database security and user management.","'2","'","'","'","'2","'","'4","'4","'The analysis of literature, practical works.",
"'9. Database structure modelling, models, definitions.","'1","'","'","'","'2","'","'3","'4","'The analysis of literature, practical works, database model development",
"'10. Relational database model, ER diagram, transformation to relational model.","'3","'","'","'","'2","'","'5","'6","'The analysis of literature, practical works, database model development",
"'11. Model normal forms, data integrity.","'2","'","'","'","'4","'","'6","'6","'The analysis of literature, practical works, database model development",
"'12. Preparation for final assessment.","'","'","'","'","'","'","'","'14","'Literature review",
"'Total","'32","'","'","'","'34","'","'66","'67","'",
,,,,,,,,,

'Confidence Scores % (Table Cell)
"'92.04101563","'89.64843750","'90.28320313","'91.60156250","'73.87695313","'91.40625000","'91.45507813","'82.37304688","'87.54882813","'90.96679688",
"'92.52929688","'90.08789063","'90.77148438","'92.04101563","'74.26757813","'91.84570313","'91.89453125","'82.81250000","'87.98828125","'91.45507813",
"'92.67578125","'90.23437500","'90.86914063","'92.18750000","'74.36523438","'91.99218750","'92.04101563","'82.91015625","'88.13476563","'91.60156250",
"'92.43164063","'89.99023438","'90.67382813","'91.94335938","'74.16992188","'91.79687500","'91.84570313","'82.71484375","'87.89062500","'91.35742188",
"'91.84570313","'89.45312500","'90.08789063","'91.40625000","'73.73046875","'91.21093750","'91.25976563","'82.17773438","'87.35351563","'90.77148438",
"'91.11328125","'88.72070313","'89.35546875","'90.62500000","'73.14453125","'90.47851563","'90.52734375","'81.49414063","'86.66992188","'90.03906250",
"'94.18945313","'91.69921875","'92.38281250","'93.70117188","'75.58593750","'93.50585938","'93.55468750","'84.27734375","'89.59960938","'93.06640625",
"'93.01757813","'90.57617188","'91.21093750","'92.52929688","'74.65820313","'92.33398438","'92.38281250","'83.20312500","'88.47656250","'91.89453125",
"'93.94531250","'91.50390625","'92.13867188","'93.45703125","'75.39062500","'93.26171875","'93.31054688","'84.08203125","'89.35546875","'92.87109375",
"'86.81640625","'84.57031250","'85.15625000","'86.37695313","'69.72656250","'86.23046875","'86.27929688","'77.68554688","'82.61718750","'85.83984375",
"'90.33203125","'87.98828125","'88.62304688","'89.89257813","'72.50976563","'89.69726563","'89.74609375","'80.85937500","'85.93750000","'89.30664063",
